"Date","Price","Open","High","Low","Change %"
"01-12-2024","6.850","6.824","6.863","6.677","1.47%"
"01-11-2024","6.751","6.831","6.863","6.739","-1.32%"
"01-10-2024","6.841","6.759","6.875","6.730","1.35%"
"01-09-2024","6.750","6.877","6.885","6.706","-1.65%"
"01-08-2024","6.863","6.912","6.919","6.843","-0.88%"
"01-07-2024","6.924","7.023","7.024","6.910","-1.20%"
"01-06-2024","7.008","6.955","7.062","6.945","0.31%"
"01-05-2024","6.986","7.170","7.173","6.967","-2.90%"
"01-04-2024","7.195","7.085","7.242","7.075","2.03%"
"01-03-2024","7.052","7.062","7.103","7.006","-0.37%"
"01-02-2024","7.078","7.129","7.140","7.021","-0.92%"
"01-01-2024","7.144","7.207","7.239","7.134","-0.45%"
"01-12-2023","7.176","7.293","7.298","7.147","-1.42%"
"01-11-2023","7.279","7.376","7.376","7.194","-0.98%"
"01-10-2023","7.351","7.239","7.395","7.205","1.96%"
"01-09-2023","7.210","7.174","7.241","7.086","0.61%"
"01-08-2023","7.166","7.186","7.256","7.147","-0.08%"
"01-07-2023","7.172","7.113","7.185","7.047","0.87%"
"01-06-2023","7.110","7.019","7.117","6.963","1.73%"
"01-05-2023","6.989","7.135","7.138","6.947","-1.78%"
"01-04-2023","7.116","7.370","7.370","7.077","-2.72%"
"01-03-2023","7.315","7.468","7.473","7.280","-1.90%"
"01-02-2023","7.457","7.416","7.465","7.245","1.55%"
"01-01-2023","7.343","7.346","7.407","7.266","0.22%"
"01-12-2022","7.327","7.255","7.344","7.181","0.65%"
"01-11-2022","7.280","7.435","7.497","7.235","-2.22%"
"01-10-2022","7.445","7.403","7.541","7.361","0.64%"
"01-09-2022","7.398","7.230","7.423","7.106","2.92%"
"01-08-2022","7.188","7.357","7.366","7.110","-1.80%"
"01-07-2022","7.320","7.427","7.475","7.255","-1.74%"
"01-06-2022","7.450","7.437","7.617","7.365","0.47%"
"01-05-2022","7.415","7.138","7.491","7.116","3.87%"
"01-04-2022","7.139","6.951","7.285","6.891","4.33%"
"01-03-2022","6.843","6.799","6.919","6.773","1.08%"
"01-02-2022","6.770","6.728","6.955","6.615","1.29%"
"01-01-2022","6.684","6.463","6.802","6.455","3.56%"
"01-12-2021","6.454","6.360","6.497","6.340","2.02%"
